account_id,unique_senders,total_incoming_transactions,total_incoming_amount,sender_accounts
TDBA988963,23,23,191067.24,"['CAYM709446', 'CITI696007', 'OFFS924046', 'CHAS289120', 'BARC286871', 'OFFS443692', 'UBS676717', 'OFFS582227', 'CRED448063', 'PRIV601413', 'BANK570065', 'CAPI599131', 'BANK822895', 'CITI797884', 'GOLD485333', 'CAPI399145', 'CITI491251', 'MORG482836', 'UBS813715', 'CITI149703', 'UBS474423', 'TDBA665201', 'WELL832249']"
PNCB682455,21,21,186759.56,"['CHAS987007', 'WELL904660', 'SHEL841212', 'LUXE221560', 'CAYM179417', 'WELL961099', 'UBS180463', 'USBA289473', 'SWIS492332', 'SWIS175658', 'CAYM368554', 'LUXE997276', 'CHAS296034', 'DEUT893840', 'CAYM692662', 'CHAS329072', 'CRED105924', 'MORG563951', 'CRED365246', 'HSBC748145', 'PRIV710999']"
GOLD578467,21,21,165301.49,"['PNCB518640', 'BARC955453', 'DEUT117574', 'BARC412598', 'HSBC262390', 'CAYM600330', 'PRIV258706', 'GOLD916025', 'PNCB764492', 'CAYM421416', 'SHEL387463', 'MORG924423', 'DEUT171743', 'CAYM117918', 'CHAS312341', 'WELL924049', 'CRED197787', 'UBS758385', 'SWIS322833', 'STAN808595', 'GOLD878508']"
TDBA457780,20,20,176271.28,"['CAPI236351', 'CRED923116', 'STAN382171', 'CHAS633633', 'USBA555239', 'CAYM783235', 'STAN362236', 'USBA593212', 'CHAS511928', 'MORG655955', 'SWIS100987', 'OFFS471223', 'MORG434744', 'GOLD364687', 'PNCB853612', 'STAN505544', 'CAYM736546', 'SHEL340218', 'WELL603111', 'BANK403252']"
CITI968315,20,20,170227.32000000004,"['HSBC153089', 'MORG146282', 'STAN278920', 'PNCB505963', 'GOLD779622', 'CAPI618706', 'CHAS245105', 'GOLD504263', 'SHEL275240', 'UBS499803', 'CAPI602377', 'SWIS856304', 'CAYM165285', 'SHEL671929', 'STAN505544', 'TDBA887612', 'SWIS175658', 'LUXE178888', 'CHAS226681', 'UBS474423']"
UBS464335,19,19,176162.63999999998,"['BANK728684', 'USBA768702', 'CRED102875', 'CRED122898', 'SHEL270004', 'WELL650797', 'UBS905253', 'HSBC817125', 'BARC471511', 'MORG622133', 'STAN780206', 'GOLD921846', 'CAYM640157', 'USBA376805', 'BANK424543', 'PNCB726067', 'OFFS445125', 'USBA105650', 'BANK214660']"
SWIS267066,19,19,155153.39999999997,"['SWIS245976', 'BARC858936', 'WELL622509', 'MORG265826', 'PNCB445050', 'SHEL173359', 'CAYM949753', 'SWIS645280', 'CRED718306', 'TDBA338246', 'CITI941784', 'GOLD298093', 'PRIV274364', 'CHAS211297', 'CHAS165870', 'GOLD878508', 'WELL631860', 'GOLD578467', 'STAN435633']"
PNCB948583,19,19,150067.05,"['WELL924049', 'DEUT217163', 'CAPI644265', 'UBS288259', 'WELL330374', 'CRED869421', 'WELL227750', 'LUXE841093', 'CAYM692662', 'CHAS356676', 'CAYM709446', 'OFFS238142', 'GOLD907268', 'CAPI168922', 'TDBA369623', 'OFFS363731', 'CRED718887', 'OFFS235151', 'SWIS946196']"
GOLD364687,18,18,175853.99000000002,"['MORG924423', 'UBS813715', 'BARC672827', 'PRIV150089', 'CHAS762132', 'SWIS298957', 'GOLD703365', 'GOLD903038', 'USBA371863', 'HSBC379581', 'GOLD696458', 'CITI461496', 'GOLD671220', 'BANK155902', 'WELL543456', 'CAPI323870', 'CAPI620794', 'CRED794186']"
USBA220558,16,16,67190.91,"['USBA328439', 'UBS290464', 'SWIS807388', 'STAN538348', 'PRIV858928', 'USBA625352', 'DEUT456977', 'TDBA962686', 'LUXE758315', 'HSBC437720', 'SWIS645280', 'CRED574580', 'PRIV273505', 'PRIV700492', 'CITI386430', 'STAN641248']"
STAN563155,15,15,171414.05,"['SHEL803626', 'PNCB659672', 'CAYM458188', 'TDBA665201', 'WELL455114', 'CITI378367', 'BARC227610', 'CITI301272', 'BARC669938', 'SHEL782390', 'GOLD812276', 'CAYM970327', 'CHAS642984', 'PRIV338390', 'CAPI624947']"
MORG721843,15,15,160790.63,"['STAN117799', 'PNCB764492', 'DEUT166113', 'CRED935605', 'STAN510581', 'CAYM816067', 'CITI383873', 'CAPI719273', 'SWIS942057', 'STAN568706', 'SHEL201001', 'TDBA428332', 'SHEL879079', 'CHAS120573', 'USBA185642']"
USBA369636,15,15,117130.49,"['PRIV945591', 'GOLD627060', 'SWIS137038', 'TDBA739587', 'BARC583910', 'HSBC934785', 'STAN752242', 'PRIV158258', 'CHAS226681', 'WELL961099', 'MORG159706', 'WELL369086', 'GOLD242311', 'CAYM186282', 'BANK387676']"
OFFS947956,15,15,68916.53,"['GOLD976427', 'BANK227858', 'PNCB385487', 'DEUT166113', 'WELL467859', 'SWIS807388', 'BANK843005', 'PRIV218261', 'GOLD696458', 'CAYM567473', 'GOLD633700', 'PRIV632625', 'CRED105924', 'BANK415303', 'UBS728169']"
TDBA369623,15,15,36112.63,"['DEUT117574', 'PRIV949260', 'SHEL275240', 'PRIV131059', 'UBS604930', 'BANK497922', 'HSBC584043', 'OFFS772496', 'GOLD504263', 'LUXE724637', 'CHAS642984', 'PNCB202639', 'TDBA865912', 'PRIV275815', 'CHAS178200']"
TDBA947252,14,16,178074.35,"['HSBC379581', 'SWIS949549', 'CHAS291276', 'HSBC640188', 'GOLD192946', 'MORG979084', 'HSBC130089', 'TDBA428332', 'CRED711851', 'CAPI195027', 'SHEL690543', 'CITI888704', 'LUXE495940', 'CHAS332672']"
DEUT599523,14,14,152605.36000000002,"['UBS765733', 'BARC907432', 'UBS470807', 'UBS418730', 'CITI771889', 'MORG485573', 'PRIV117123', 'PRIV909324', 'USBA828645', 'LUXE764480', 'PRIV818593', 'GOLD127978', 'DEUT905466', 'CAYM547073']"
OFFS429794,14,14,125311.38,"['LUXE941500', 'DEUT929593', 'SWIS585196', 'DEUT132036', 'SHEL551672', 'TDBA702205', 'GOLD975305', 'DEUT713726', 'PRIV766615', 'HSBC232159', 'CAPI773475', 'CRED541876', 'DEUT323035', 'HSBC741334']"
SHEL568137,14,14,39785.740000000005,"['BARC270199', 'HSBC875360', 'CAPI773475', 'TDBA318858', 'CHAS757713', 'USBA955385', 'UBS638780', 'USBA190101', 'WELL760901', 'CAPI910986', 'CAYM161329', 'CRED312046', 'CRED718306', 'WELL850403']"
USBA672607,13,13,140835.03999999998,"['SWIS628509', 'MORG985993', 'CRED555306', 'PRIV108638', 'CRED454622', 'HSBC741542', 'USBA398307', 'CAPI130395', 'HSBC635434', 'GOLD976427', 'BANK260977', 'DEUT941896', 'CRED204056']"
LUXE537307,13,13,136887.49,"['SWIS648223', 'STAN696782', 'CHAS245105', 'USBA561275', 'MORG406859', 'GOLD812276', 'GOLD432988', 'CAYM547073', 'LUXE614371', 'SHEL206641', 'CRED143894', 'STAN190609', 'HSBC333075']"
CAYM918014,13,13,53390.57000000001,"['CITI766024', 'USBA369636', 'UBS104677', 'CRED204056', 'WELL885943', 'DEUT516352', 'CRED830110', 'PNCB102358', 'MORG788260', 'CAYM117918', 'CAPI830868', 'DEUT680370', 'LUXE171782']"
OFFS407278,13,13,46944.81,"['HSBC379581', 'STAN619227', 'UBS833769', 'CITI324820', 'LUXE604858', 'GOLD511967', 'CHAS757713', 'TDBA719047', 'CAPI602377', 'OFFS363731', 'STAN192374', 'UBS418730', 'CRED718306']"
HSBC352298,13,13,12014.44,"['DEUT487629', 'DEUT498277', 'BANK602050', 'WELL188866', 'CITI790567', 'PRIV939952', 'USBA606158', 'TDBA739587', 'USBA593212', 'CHAS363585', 'GOLD770018', 'PNCB919330', 'LUXE546456']"
HSBC333075,12,12,83852.93000000001,"['CHAS630034', 'TDBA988963', 'SHEL959484', 'PNCB794037', 'USBA300157', 'STAN802008', 'OFFS632272', 'HSBC355343', 'CAYM589539', 'CAYM117918', 'CITI389403', 'DEUT966754']"
SHEL475427,12,12,65302.63999999999,"['BANK508259', 'UBS383971', 'USBA185642', 'CITI324820', 'PRIV218261', 'CAPI955818', 'UBS397613', 'GOLD432988', 'SHEL923479', 'CRED869421', 'TDBA428332', 'SWIS175658']"
CRED718887,12,12,53306.03,"['LUXE522575', 'CAPI773475', 'HSBC584043', 'USBA868820', 'TDBA422203', 'PRIV779471', 'GOLD838993', 'WELL650797', 'STAN362236', 'CAYM646837', 'CAPI120002', 'MORG437689']"
HSBC748145,12,12,43647.310000000005,"['CHAS205509', 'PRIV534217', 'STAN696782', 'DEUT516072', 'CHAS433735', 'CAPI262076', 'STAN516862', 'HSBC741334', 'MORG429217', 'BARC471511', 'OFFS576896', 'PNCB787491']"
USBA217733,12,12,24460.9,"['OFFS321226', 'SWIS684192', 'LUXE148760', 'CITI238518', 'WELL176809', 'SWIS840465', 'BANK382153', 'SWIS618259', 'DEUT807363', 'CRED387059', 'CITI388599', 'SHEL277154']"
PNCB930768,11,11,240465.52000000002,"['CAPI895969', 'GOLD159244', 'STAN759600', 'CAPI588903', 'SHEL398373', 'CAPI969693', 'CAPI830868', 'DEUT456822', 'OFFS407278', 'CAYM179417', 'HSBC437720']"
